name,aliases,badge,eNumber
jus de raisin concentre,jus de raisin concentre; jus de raisin concentré; concentrated grape juice; raisin concentré,Occasional,
lait en poudre,lait en poudre; milk powder; lait écrémé en poudre; lait ecreme en poudre; skimmed milk powder; poudre de lait; lait entier en poudre; whole milk powder,Occasional,
lecithine de soja,lecithine de soja; soy lecithin; lécithine de soja; lecithin; lécithine; lecithine de tournesol; sunflower lecithin; lécithine de tournesol; E322,Occasional,E322
Mélamine (vaisselle),Mélamine (vaisselle); melamine-cookware,Occasional,
metabisulfite de potassium,metabisulfite de potassium; potassium metabisulphite; potassium metabisulfite; e224,Occasional,E224
metabisulfite de sodium,metabisulfite de sodium; sodium metabisulphite; sodium metabisulfite; e223,Occasional,E223
Méthyl éthyl cellulose,Méthyl éthyl cellulose; E465,Occasional,E465
Mica contaminé,Mica contaminé; mica-contaminated,Occasional,
Microplastiques / Microbilles,Microplastiques / Microbilles; microplastics,Occasional,
Noir de carbone,Noir de carbone; carbon-black,Occasional,
or,or; gold; e175,Occasional,E175
pain blanc,pain blanc; white bread; pain de mie; sandwich bread; pain de mie industriel; pain industriel; pain hamburger; pain a hot dog; pain a hot-dog; hot dog bun; burger bun; pain brioche industriel,Occasional,
peg-,peg-; sles; sodium laureth sulfate; SLES (Sodium Laureth Sulfate),Occasional,
PFOA / PTFE (Teflon),PFOA / PTFE (Teflon); pfoa-ptfe,Occasional,
phosphate de calcium,phosphate de calcium; calcium phosphate; e341,Occasional,E341
phosphate de potassium,phosphate de potassium; potassium phosphate; e340,Occasional,E340
phosphate de sodium,phosphate de sodium; sodium phosphate; e339,Occasional,E339
Phosphates (détergents),Phosphates (détergents); phosphates-detergent,Occasional,
Phtalate DEP,Phtalate DEP; phthalate-dep,Occasional,
Polycarbonate (plastique #7),Polycarbonate (plastique #7); polycarbonate-7,Occasional,
polyphosphate,polyphosphate; e452; Polyphosphates,Occasional,E452
Polystyrène (plastique #6),Polystyrène (plastique #6); polystyrene-6,Occasional,
poudre a lever,poudre a lever; poudres a lever; poudres à lever; baking powder; levure chimique; raising agents; raising agent; agent levant; agents levants; leavening; leavening agent; leavening agents; leavening agent(s),Occasional,
propionate de calcium,propionate de calcium; calcium propionate; e282,Occasional,E282
Propylène glycol,Propylène glycol; propylene-glycol,Occasional,
proteine de feve,proteine de feve; protéine de fève; proteines de feve; protéines de fève; proteine de feverole; protéine de féverole; fava bean protein; faba bean protein; broad bean protein,Occasional,
proteine de pois,proteine de pois; protéine de pois; proteines de pois; protéines de pois; pea protein; poudre de pois; farine de pois,Occasional,
PVC (plastique #3),PVC (plastique #3); pvc-3,Occasional,
rebaudioside m,rebaudioside m; rébaudioside m; reb m; reb-m; rebm; fermented sugarcane rebm; fermented sugarcane reb m; fermented sugarcane rebaudioside m; sugarcane rebm; sugarcane reb m; rebm de canne fermentee; rebm de canne fermentée,Occasional,
Résorcinol,Résorcinol; resorcinol,Occasional,
ribonucleotides,ribonucleotides; ribonucléotides; ribonucléotides disodiques; disodium ribonucleotides; guanylate; inosinate; e635,Occasional,E635
ribonucléotides calciques,ribonucléotides calciques; calcium ribonucleotides; e634,Occasional,E634
riz précuit,riz précuit; riz precuit; pre-cooked rice; precooked rice; parboiled rice,Occasional,
sirop de ble,sirop de ble; sirop de blé; wheat syrup,Occasional,
sirop de riz,sirop de riz; rice syrup; rice-syrup,Occasional,
SLS (Sodium Lauryl Sulfate),SLS (Sodium Lauryl Sulfate); sls,Occasional,
sodium benzoate,sodium benzoate; benzoate de sodium; e211,Occasional,E211
soja,soja; soy; soya,Occasional,
sorbate de potassium,sorbate de potassium; potassium sorbate; e202,Occasional,E202
stearate de magnesium,stearate de magnesium; stéarate de magnésium; magnesium stearate; e572,Occasional,E572
stevia,stevia; stévia; stevia bio; stévia bio; organic stevia; stevia rebaudiana; extrait de stevia; extrait de stévia; stevia extract; stevia leaf extract; extrait de feuille de stevia; extrait de feuille de stévia; rebaudioside; rebaudioside a; reb-a; steviol glycosides; glycosides de stéviol; glycosides de steviol; e960; Stévia / Steviol glycosides,Occasional,E960
Sucre blanc raffiné,Sucre blanc raffiné; refined-sugar,Occasional,
sucre de canne,sucre de canne; cane sugar; sucre de canne roux; raw cane sugar; sucre roux; brown sugar; sucre brun; sucre blond; turbinado; demerara; sirop de canne; cane syrup; jus de canne; cane juice; jus de canne evapore; jus de canne évaporé; evaporated cane juice; evaporated cane sugar; sucre de canne evapore; sucre de canne évaporé; cane sugar evaporated,Occasional,
sulfite de calcium,sulfite de calcium; calcium sulphite; calcium sulfite; e226,Occasional,E226
sulfite de potassium,sulfite de potassium; potassium sulphite; potassium sulfite; e225,Occasional,E225
sulfite de sodium,sulfite de sodium; sodium sulphite; sodium sulfite; e221,Occasional,E221
tanin ferrique,tanin ferrique; tanins ferriques; iron tannate; e181,Occasional,E181
tarama,tarama; taramasalata,Occasional,
taurine,taurine,Occasional,
thon,thon; tuna,Occasional,
tilapia,tilapia; pangasius,Occasional,
tobiko,tobiko; masago,Occasional,
Toluène,Toluène; toluene,Occasional,
tripolyphosphate,tripolyphosphate; e451; Triphosphates,Occasional,E451
vermicelles de blé,vermicelles de blé; vermicelles de ble; wheat vermicelli,Occasional,
acide citrique,acide citrique; citric acid; e330; acidifiant acide citrique; acidifiant (acide citrique); acidifiant: acide citrique,Approved,E330
Acide tartrique,Acide tartrique; E334,Approved,E334
agar agar,agar agar; agar-agar; e406,Approved,E406
allulose,allulose; tagatose; fruit du moine en poudre; monk fruit extract; inuline de chicoree; inuline de chicorée,Approved,
amande,amande; almond; amandes; almonds,Approved,
avocat,avocat; avocado; olive; olives,Approved,
avoine,avoine; oat; flocons d\,Approved,
beurre,beurre; butter,Approved,
beurre de cacao,beurre de cacao; cocoa butter,Approved,
bicarbonate,bicarbonate; bicarbonate de sodium; sodium bicarbonate; baking soda,Approved,
ble,ble; blé; wheat; grain de blé; grain de ble; wheat grain; blé entier; ble entier; whole wheat; farine de ble; farine de blé; farine complete; farine complète; farine de blé complète; wheat flour; whole wheat flour; whole flour; farine intégrale,Approved,
bœuf,bœuf; boeuf; beef; porc; pork; agneau; lamb; veau; veal; viande hachee; viande hachée; steak hache; steak haché; boeuf hache; bœuf haché; ground beef; ground meat; minced meat; minced beef; hamburger steak; steak; entrecote; entrecôte; bavette; rosbif; rôti de boeuf; roti de boeuf; mouton; mutton; chevre; chèvre; goat; lapin; rabbit; canard; duck; oie; goose; pintade; guinea fowl; caille; quail; pigeon; faisan; pheasant; gibier; venison; cerf; chevreuil; sanglier; wild boar; bison; autruche; ostrich; kangourou; kangaroo,Approved,
cabillaud,cabillaud; morue; cod; lieu; pollock; haddock; eglefin; églefin; merlu; hake; sole; bar; sea bass; loup; dorade; bream; rouget; red mullet; lotte; monkfish; turbot; flétan; fletan; halibut; truite; trout; omble; hareng; herring; esturgeon; sturgeon; merlan; whiting; saint-pierre; john dory,Approved,
cacao,cacao; cocoa; chocolat en poudre; cacao en poudre; cocoa powder,Approved,
cafe,cafe; café; coffee; grains de cafe; grains de café; coffee beans; extrait de cafe; extrait de café; coffee extract,Approved,
cafeine,cafeine; caféine; caffeine; cafeine anhydre; caféine anhydre; anhydrous caffeine; caffeine anhydrous,Approved,
cannelle,cannelle; cinnamon,Approved,
carbonate de calcium,carbonate de calcium; calcium carbonate; e170,Approved,E170
Carbonate de magnésium,Carbonate de magnésium; E504,Approved,E504
carotte,carotte; carrot; carottes; carrots; carotte déshydratée,Approved,
caviar,caviar; oeufs de poisson; œufs de poisson; fish roe; roe; oeufs de saumon; œufs de saumon; salmon roe,Approved,
champignon,champignon; mushroom; champignons; mushrooms; champignon de paris; button mushroom; cremini; portobello; shiitake; maitake; enoki; pleurote; oyster mushroom; girolle; chanterelle; cèpe; cepe; porcini; morille; morel; truffe; truffle,Approved,
chocolat noir,chocolat noir; dark chocolate; chocolat noir 70%; chocolat noir 85%; chocolat 70%; chocolat 85%; dark chocolate 70%; dark chocolate 85%,Approved,
chocolat non sucre,chocolat non sucre; chocolat non sucré; chocolat sans sucre; chocolat sans sucre ajoute; chocolat sans sucre ajouté; chocolat 100%; chocolat 100% cacao; chocolat noir 100%; chocolate 100%; unsweetened chocolate; unsweetened cocoa; unsweetened dark chocolate; baking chocolate; chocolat a patisser; chocolat à pâtisser; chocolat pur cacao; 100% cacao; 100% cocoa; 무가당 초콜릿; 무설탕 초콜릿; 100% 카카오,Approved,
chou-fleur,chou-fleur; cauliflower; chou de bruxelles; brussels sprouts; chou rouge; red cabbage; chou frise; chou frisé; kale; chou kale; pak choi; bok choy; chou chinois; napa cabbage; choucroute; sauerkraut; kimchi; 김치; baechu kimchi; kimchi de chou,Approved,
coriandre,coriandre; cilantro; coriander; persil; parsley; aneth; dill; estragon; tarragon; menthe; mint; menthe poivree; menthe poivrée; peppermint; spearmint; sauge; sage; sarriette; savory; marjolaine; marjoram; laurier; bay leaf; feuille de laurier; verveine; verbena; melisse; mélisse; lemon balm; lavande; lavender; hysope; hyssop; angelique; angélique; livèche; lovage,Approved,
cornichon naturel,cornichon naturel; pickle naturel; légumes lacto-fermentés; lacto-fermented vegetables; kombucha; kvass,Approved,
couscous complet,couscous complet; whole couscous; freekeh; farro; epeautre perlé; orge perlé; pearled barley,Approved,
creme,creme; crème; cream; creme fraiche; crème fraîche,Approved,
crevette,crevette; shrimp; prawn; crevettes; gambas; langoustine; langouste; lobster; homard; crabe; crab; tourteau; araignée de mer; ecrevisse; écrevisse; crayfish; huitre; huître; oyster; oysters; moule; moules; mussel; mussels; palourde; clam; clams; coque; cockle; saint-jacques; coquille saint-jacques; scallop; scallops; bulot; bigorneau; whelk; oursin; sea urchin; poulpe; pieuvre; octopus; calamar; calmar; squid; encornet; seiche; cuttlefish; algue; algues; seaweed; nori; kombu; wakame; dulse; agar,Approved,
curcuma,curcuma; turmeric,Approved,
delta-tocopherol,delta-tocopherol; delta tocopherol; delta-tocophérol; e309,Approved,E309
eau,eau; water; aqua; eau gazeifiee; eau gazéifiée; carbonated water; sparkling water; eau pétillante; eau minérale,Approved,
epeautre,epeautre; épeautre; spelt,Approved,
epinard,epinard; épinard; spinach; brocoli; broccoli; brocoli séché; brocoli sec; chou; chou déshydraté; cabbage,Approved,
erythritol,erythritol; érythritol,Approved,
Extrait de romarin,Extrait de romarin; E392,Approved,E392
fécule de tapioca,fécule de tapioca; fecule de tapioca; amidon de tapioca; tapioca starch; tapioca flour; farine de tapioca,Approved,
ferments lactiques,ferments lactiques; lactic cultures; live cultures; lactobacillus; probiotique; culture bactérienne; cultures bactériennes; bacterial culture; bacterial cultures; cultures actives; active cultures; bifidobacterium; streptococcus thermophilus,Approved,
feta,feta; halloumi; manchego; queso fresco; paneer; labneh; kashkaval; kefalotyri,Approved,
feuille de kaffir,feuille de kaffir; kaffir lime leaf; citronnelle; lemongrass; galanga; galangal; curcuma frais; fresh turmeric; racine de gingembre; ginger root; wasabi; raifort; horseradish; feuille de curry; curry leaf,Approved,
fibre de racine de manioc,fibre de racine de manioc; cassava root fiber; manioc; cassava; tapioca,Approved,
figue,figue; fig; figues; figs; datte; dates; dattes; medjool; datte medjool; raisin sec; raisins secs; sultanines; sultanas; cranberries séchées,Approved,
foie,foie; liver; foie de volaille; rognon; rognons; kidney; cœur; coeur; heart; abats; offal; langue; tongue,Approved,
fraise,fraise; strawberry; myrtille; blueberry; framboise; raspberry,Approved,
fromage,fromage; cheese; fromage blanc,Approved,
fruit,fruit; legume; vegetable,Approved,
Fruit du moine / Monk fruit,Fruit du moine / Monk fruit; monk-fruit,Approved,
gamma-tocopherol,gamma-tocopherol; gamma tocopherol; gamma-tocophérol; e308,Approved,E308
gelée royale,gelée royale; royal jelly; propolis; pollen; pollen frais; bee pollen,Approved,
ghee,ghee; beurre clarifié; beurre clarifie; clarified butter; beurre de baratte; beurre cru; raw butter,Approved,
gingembre,gingembre; ginger,Approved,
ginseng,ginseng; extrait de ginseng; ginseng extract,Approved,
gomme arabique,gomme arabique; arabic gum; acacia gum; e414; Gomme arabique / Acacia,Approved,E414
graines,graines; seeds; mixed seeds; graines melangees; graines mélangées; melange de graines; mélange de graines; assorted seeds; seed mix; graines variees; graines variées,Approved,
graines de chia,graines de chia; chia seeds; chia,Approved,
graines de courge,graines de courge; pumpkin seeds; pepitas; graines de pavot; poppy seeds; graines de fenouil; fennel seeds; graines de cumin; graines de coriandre; coriander seeds; graines de moutarde; mustard seeds; graines de fenugrec; fenugreek seeds; graines de nigelle; nigella seeds; graines de chanvre; hemp seeds,Approved,
graines de lin,graines de lin; flax seeds; lin,Approved,
graines de sesame,graines de sesame; graines de sésame; sesame seeds; sésame,Approved,
graines de tournesol,graines de tournesol; sunflower seeds,Approved,
grenade,grenade; pomegranate; kiwi; kiwis; melon; pasteque; pastèque; watermelon; cantaloup; cantaloupe,Approved,
guarana,guarana; extrait de guarana; guarana extract,Approved,
haricots,haricots; beans; haricot,Approved,
huile de coco,huile de coco; huile de coco vierge; huile de coco extra vierge; huile de noix de coco; huile de noix de coco vierge; coconut oil; virgin coconut oil; extra virgin coconut oil; cold pressed coconut oil; huile de coco pressee a froid; huile de coco pressée à froid; graisse de coco; matiere grasse de coco; matière grasse de coco,Approved,
huile de lin,huile de lin; flaxseed oil; linseed oil,Approved,
huile de noix,huile de noix; walnut oil,Approved,
huile de sesame,huile de sesame; huile de sésame; sesame oil; 참기름; toasted sesame oil,Approved,
inuline,inuline; inuline d\,Approved,
jus de fruits frais,jus de fruits frais; fresh fruit juice; jus pressé; jus pressé à froid; cold-pressed juice; jus de légumes; vegetable juice; smoothie maison,Approved,
kefir,kefir; kéfir; skyr; lassi; ayran; doogh; leben; kumis; koumis; yaourt grec; greek yogurt; yaourt nature; plain yogurt; yaourt bulgare,Approved,
l-theanine,l-theanine; l-théanine; theanine; théanine,Approved,
lait,lait; milk; lait entier; whole milk,Approved,
lait de chevre,lait de chevre; lait de chèvre; goat milk; lait de brebis; sheep milk; lait de bufflonne; buffalo milk; lait cru; raw milk; babeurre; buttermilk,Approved,
lait ecreme,lait ecreme; lait écrémé; skim milk; skimmed milk,Approved,
lentilles,lentilles; lentils,Approved,
levain,levain; sourdough; levain naturel; natural starter; masa harina; nixtamal; tortilla de maïs; corn tortilla; pita maison; pain pita; pain plat; flatbread; naan maison; chapati; roti; injera; lavash; pain au levain,Approved,
levure,levure; yeast; levure seche; levure sèche; dried yeast; levure boulangere; levure boulangère,Approved,
mais déshydraté,mais déshydraté; maïs déshydraté; dried corn; mais; maïs,Approved,
mangue,mangue; mango; ananas; pineapple; papaye; papaya; goyave; guava; fruit de la passion; passion fruit; maracuja; litchi; lychee; longane; longan; ramboutan; rambutan; mangoustan; mangosteen; durian; jacquier; jackfruit; fruit du dragon; dragon fruit; pitaya; carambole; starfruit; kaki; persimmon; corossol; soursop; guanabana; cherimoya; sapote,Approved,
miel,miel; honey,Approved,
monk fruit,monk fruit; luo han guo; fruit du moine,Approved,
mure,mure; mûre; blackberry; cassis; blackcurrant; groseille; currant; redcurrant; cranberry; canneberge; airelle; baie de goji; goji berry; goji; sureau; elderberry; açai; acai,Approved,
noisette,noisette; hazelnut; noisettes; hazelnuts; pate de noisette; pâte de noisette; hazelnut paste,Approved,
noix,noix; nuts; walnuts; noix de cajou; cashew; pistache; pistachio,Approved,
noix de coco,noix de coco; coconut; pulpe de coco; lait de coco; coconut milk; creme de coco; crème de coco; coconut cream; eau de coco; coconut water,Approved,
oeuf,oeuf; oeufs; egg; eggs; œuf; œufs,Approved,
okra,okra; gombo; bamboo; pousses de bambou; bamboo shoots; germes de soja; bean sprouts; pousses de haricot mungo; lotus root; racine de lotus,Approved,
orange,orange; oranges; mandarine; mandarin; clementine; clémentine; tangerine; pamplemousse; grapefruit; pomelo; lime; citron vert; kumquat; yuzu; bergamote; bergamot,Approved,
orge,orge; barley,Approved,
pain complet,pain complet; whole wheat bread; wholemeal bread; whole grain bread; pain integral; pain intégral; pain de seigle; rye bread; pain noir; pumpernickel; pain multicereales; pain multicéréales; multigrain bread; pain aux cereales completes; pain aux céréales complètes; pain epeautre; pain épeautre; spelt bread; pain au levain complet,Approved,
pate de cacao,pate de cacao; pâte de cacao; cocoa mass; chocolate liquor,Approved,
pates completes,pates completes; pâtes complètes; whole wheat pasta; pates de blé entier; pâtes de blé entier; pates au quinoa; pâtes au quinoa; soba; nouilles soba; udon; somen; nouilles de riz; rice noodles,Approved,
peche,peche; pêche; peach; nectarine; abricot; apricot; prune; plum; pruneau; prunes; cerise; cherry; cerises,Approved,
pectine,pectine; pectin; e440,Approved,E440
petits pois,petits pois; green peas; peas; pois mange-tout; snow peas; sugar snap peas; fève; feve; fava beans; broad beans; haricot vert; haricots verts; green beans; string beans; haricot rouge; kidney beans; haricot noir; black beans; haricot blanc; white beans; haricot pinto; pinto beans; flageolet; cannellini; borlotti; azuki; mungo; mung beans; pois cassés; split peas; pois cassés jaunes; yellow split peas; lentilles corail; red lentils; lentilles vertes; lentilles du puy; lentilles noires; beluga lentils,Approved,
plantain,plantain; banane plantain; banana plantain; tamarin; tamarind; tamarillo; physalis; feijoa,Approved,
poireau,poireau; leek; ciboule; cebette; oignon vert; green onion; scallion; spring onion; ciboulette; chives; ail des ours; wild garlic,Approved,
pois chiches,pois chiches; chickpeas; pois chiche; pois secs,Approved,
poivre,poivre; pepper; paprika; extrait de paprika; paprika extract; cumin; origan; oregano; basilic; basil; thym; thyme; romarin; rosemary,Approved,
pomme,pomme; apple; poire; pear; banane; banana; citron; lemon,Approved,
pomme de terre,pomme de terre; potato; patate; patate douce; sweet potato; igname; yam; taro; malanga; topinambour; jerusalem artichoke; panais; parsnip; rutabaga; navet; turnip; radis; radish; daikon; radis noir; betterave; beetroot; beet,Approved,
poudre de céleri,poudre de céleri; celery powder; céleri; celery; celeri-rave; céleri-rave; celeriac; fenouil; fennel; asperge; asparagus; artichaut; artichoke; cardon; cardoon; bette; blette; swiss chard; silverbeet,Approved,
poulet,poulet; chicken; volaille; poultry; dinde; turkey; canard; duck,Approved,
quinoa,quinoa,Approved,
raisin,raisin; grape; raisins; grapes,Approved,
rhubarbe,rhubarbe; rhubarb; coing; quince; mirabelle; reine claude; reine-claude; griotte,Approved,
ricotta,ricotta; mozzarella; parmesan; parmigiano; pecorino; grana padano; mascarpone; gorgonzola; taleggio; asiago; provolone; burrata; stracciatella; scamorza,Approved,
riz,riz; rice; riz complet; brown rice; vermicelles de riz,Approved,
riz basmati,riz basmati; basmati rice; riz jasmin; jasmine rice; riz arborio; arborio rice; riz noir; black rice; riz rouge; red rice; riz sauvage; wild rice; riz thai; thai rice,Approved,
sarrasin,sarrasin; buckwheat,Approved,
saumon sauvage,saumon sauvage; wild salmon; saumon coho; coho; saumon sockeye; sockeye; saumon rouge; saumon keta; keta; chum salmon; saumon rose; pink salmon; saumon quinnat; king salmon; chinook; saumon atlantique sauvage; wild atlantic salmon; saumon; salmon; sardine; sardines; maquereau; mackerel; anchois; anchovy,Approved,
sirop de yacon,sirop de yacon; yacon syrup; sirop de dattes; date syrup,Approved,
spiruline,spiruline; spirulina; spirulina extract; extrait de spiruline,Approved,
stevia leaf,stevia leaf; feuilles de stevia; feuilles de stévia; stévia entière; stevia entiere; poudre de stévia; poudre de stevia,Approved,
sucre de canne complet,sucre de canne complet; rapadura; panela; muscovado; sucanat; jaggery; gur; sucre de palme; palm sugar; mélasse; melasse; molasses; mélasse noire; blackstrap molasses; sirop de sorgho; sorghum syrup,Approved,
sucre de coco,sucre de coco; coconut sugar; sucre de fleur de coco; coconut flower sugar,Approved,
sucre de datte,sucre de datte; sucre de dattes; date sugar,Approved,
tahini,tahini; humus maison; hummus; baba ganoush; tzatziki; guacamole; salsa verde; romesco; aioli; aïoli,Approved,
the noir,the noir; thé noir; black tea; rooibos,Approved,
the vert,the vert; thé vert; green tea; extrait de the vert; extrait de thé vert,Approved,
theine,theine; théine; theobromine; théobromine,Approved,
tofu,tofu; edamame; feve de soya; fève de soya; soya bean; soybean whole; graines de soja entieres; graines de soja entières,Approved,
tomate,tomate; tomato; tomates; tomatoes; concentre de tomate; concentré de tomate; tomato paste; puree de tomate; purée de tomate; poudre de tomate; tomato powder; tomates séchées au soleil; sun dried tomatoes,Approved,
vanille,vanille; vanilla; extrait de vanille; vanilla extract; gousse de vanille,Approved,
viande rouge,viande rouge; red meat; viande-rouge,Approved,
vinaigre,vinaigre; vinegar; vinaigre de cidre; vinaigre de cidre de pomme; apple cider vinegar; vinaigre balsamique; vinaigre de vin,Approved,
vinaigre de riz,vinaigre de riz; rice vinegar; vinaigre de xeres; vinaigre de xérès; sherry vinegar; vinaigre de framboise; raspberry vinegar; vinaigre de noix de coco; coconut vinegar; vinaigre de malt; malt vinegar; vinaigre de champagne,Approved,
vitamine c,vitamine c; acide ascorbique; ascorbic acid; e300; Acide ascorbique / Vitamine C,Approved,E300
Vitamine E naturelle (tocophérol),Vitamine E naturelle (tocophérol); E306,Approved,E306
whey,whey; lactoserum; lactosérum; petit-lait; petit lait; whey protein; proteine de lactoserum; protéine de lactosérum; proteine de petit-lait,Approved,
xylitol,xylitol,Approved,
yaourt,yaourt; yogurt; yoghurt,Approved,
간장,간장; 양조간장; ganjang; yangjo ganjang; korean soy sauce,Approved,
고춧가루,고춧가루; 고추가루; gochugaru; piment coreen en poudre; piment coréen en poudre; korean chili powder; korean red pepper powder,Approved,
국간장,국간장; 조선간장; 집간장; gukganjang; guk-ganjang; joseon ganjang; sauce soja de soupe coreenne; soup soy sauce; korean soup soy sauce,Approved,
된장,된장; doenjang; pate de soja fermentee coreenne; pâte de soja fermentée coréenne; fermented soybean paste,Approved,
들기름,들기름; huile de perilla coreenne; perilla oil korean,Approved,
메주,메주; meju,Approved,
미숫가루,미숫가루; misugaru; misutgaru; poudre de cereales grillees; roasted grain powder,Approved,
쌈장,쌈장; ssamjang,Approved,
액젓,액젓; 멸치액젓; 까나리액젓; aekjeot; myeolchi aekjeot; sauce de poisson coreenne; korean fish sauce,Approved,
젓갈,젓갈; 새우젓; 명란젓; jeotgal; saeujeot; myeongnanjeot; fruits de mer fermentes coreens; salted fermented seafood,Approved,
청국장,청국장; cheonggukjang,Approved,
